,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
49,0.13573460578918456,0.006483448772849162,0.0009036064147949219,2.26364598596792e-05,0.175,2,500,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
30,0.03137707710266113,0.0014542496284657676,0.0006592750549316406,9.936535856346974e-06,0.15,1,100,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
31,0.06283254623413086,0.0023447113400440027,0.0007451534271240235,1.1704968256047255e-05,0.15,1,200,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
12,0.09166259765625,0.00721462903728446,0.0007904529571533203,1.6859818329155004e-05,0.1,1,300,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
21,0.06847109794616699,0.003989976644226608,0.000786733627319336,1.5148419330224772e-05,0.125,1,200,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
40,0.0316131591796875,0.0016313572578302293,0.0006848335266113281,2.044102513121614e-05,0.175,1,100,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
11,0.061588287353515625,0.004050061163102232,0.0007401943206787109,4.099429811109656e-05,0.1,1,200,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
4,0.15343136787414552,0.011595197457991471,0.0008463859558105469,4.432662423806588e-05,0.05,1,500,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
3,0.12438864707946777,0.008729634708524484,0.000813150405883789,2.3901197974246036e-05,0.05,1,400,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
46,0.05956716537475586,0.003936805750325424,0.000740814208984375,9.154031589843284e-06,0.175,2,200,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,1.0,0.9,1.0,0.9800000000000001,0.039999999999999994,1
