,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
40,0.03332204818725586,0.0006204512570814308,0.0006897926330566406,2.3440511548504822e-05,0.175,1,100,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
21,0.06566140651702881,0.0019052993090093555,0.0007853031158447266,9.29387181599037e-05,0.125,1,200,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
3,0.13182516098022462,0.005663004110168982,0.0008346796035766602,2.9168532759893072e-05,0.05,1,400,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
4,0.16228115558624268,0.0031783257144520458,0.0008886098861694336,3.2541900250554e-05,0.05,1,500,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
30,0.033635830879211424,0.0016798925117169198,0.0007073402404785157,2.1192662583221155e-05,0.15,1,100,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
11,0.06918668746948242,0.002026475119301598,0.0007565021514892578,2.3649632883810995e-05,0.1,1,200,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
19,0.1445141315460205,0.003712095182536414,0.0008643865585327148,1.820064696444024e-05,0.1,2,500,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,0.9700000000000001,0.06403124237432847,7
18,0.12370529174804687,0.004360752482024403,0.0008473396301269531,3.764719204014879e-05,0.1,2,400,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 400}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,0.9700000000000001,0.06403124237432847,7
17,0.09663949012756348,0.004223214747753426,0.0007896900177001953,2.879062050000521e-05,0.1,2,300,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,0.9700000000000001,0.06403124237432847,7
16,0.0715944528579712,0.002764698710777828,0.0007423877716064454,2.3163392603209323e-05,0.1,2,200,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,0.9700000000000001,0.06403124237432847,7
0,0.035616397857666016,0.0033064427720738672,0.0007303953170776367,5.272849362004824e-05,0.05,1,100,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,11
20,0.03279135227203369,0.0001460984017852092,0.000667738914489746,2.8659073541162768e-05,0.125,1,100,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,11
41,0.06526141166687012,0.0019093268590436607,0.0007536172866821289,2.1531309824739026e-05,0.175,1,200,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.97,0.045825756949558386,11
1,0.06810061931610108,0.007494543014885668,0.0007478713989257813,1.9237528144187918e-05,0.05,1,200,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,11
12,0.09885663986206054,0.0036687915449678246,0.000826263427734375,4.660985048045565e-05,0.1,1,300,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.97,0.045825756949558386,11
2,0.09816620349884034,0.0020975417864266335,0.000796651840209961,1.3334911196447244e-05,0.05,1,300,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,11
5,0.039602351188659665,0.0006355226455519612,0.0007139444351196289,2.9606029661554257e-05,0.05,2,100,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,11
31,0.06592509746551514,0.0020861367263555917,0.0007978677749633789,8.174074152665181e-05,0.15,1,200,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.97,0.045825756949558386,11
10,0.034642505645751956,0.002155132497343727,0.0007077693939208984,2.0164687389887458e-05,0.1,1,100,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,11
46,0.06482467651367188,0.004145443712889056,0.0007750511169433594,3.155833536097743e-05,0.175,2,200,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
47,0.08769013881683349,0.003491368795142806,0.0008248567581176757,3.310569677269542e-05,0.175,2,300,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
44,0.14412479400634765,0.004529221046189249,0.000909423828125,3.483363163294293e-05,0.175,1,500,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.96,0.06633249580710798,20
42,0.09372200965881347,0.0026413871143797655,0.0008177995681762695,5.2517552054234126e-05,0.175,1,300,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.96,0.06633249580710798,20
39,0.14310915470123292,0.009867593816599289,0.0008976221084594727,5.8990793720980525e-05,0.15,2,500,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
38,0.11875848770141602,0.0042895993781605565,0.0008668184280395507,1.7751556135476233e-05,0.15,2,400,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 400}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
37,0.08913018703460693,0.0023733139005751988,0.0008545398712158203,0.00017281386480752574,0.15,2,300,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
36,0.06549582481384278,0.0031841320492771146,0.0007631301879882813,3.457477150909371e-05,0.15,2,200,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
35,0.040663743019104005,0.0025525016191512116,0.0007179975509643555,3.183316619820541e-05,0.15,2,100,"{'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
34,0.15173804759979248,0.007468106958767366,0.000924062728881836,3.214759593766844e-05,0.15,1,500,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.96,0.06633249580710798,20
33,0.1223306655883789,0.0029697788413998298,0.000848698616027832,1.2642053824566498e-05,0.15,1,400,"{'learning_rate': 0.15, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.96,0.06633249580710798,20
45,0.0386749267578125,0.001073373260023277,0.0007171392440795899,3.0424200563914955e-05,0.175,2,100,"{'learning_rate': 0.175, 'max_depth': 2, 'n_estimators': 100}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
43,0.11741359233856201,0.0014019620853395272,0.0008229970932006836,2.4776600524549523e-05,0.175,1,400,"{'learning_rate': 0.175, 'max_depth': 1, 'n_estimators': 400}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.96,0.06633249580710798,20
24,0.15059218406677247,0.0033764509660858164,0.0009291410446166992,0.00013177209376242117,0.125,1,500,"{'learning_rate': 0.125, 'max_depth': 1, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,0.96,0.06633249580710798,20
29,0.14795615673065185,0.005452201823145898,0.0008971452713012696,2.351306461837581e-05,0.125,2,500,"{'learning_rate': 0.125, 'max_depth': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
6,0.07967989444732666,0.002037590597524373,0.0007616043090820313,2.2468139841914333e-05,0.05,2,200,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 200}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.8,1.0,0.96,0.06633249580710798,20
