,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
89,0.0010262012481689453,1.9745549782913813e-05,0.00036187171936035155,1.3266360455681858e-05,0.1,1,0.2,poly,"{'C': 0.1, 'degree': 1, 'gamma': 0.2, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
119,0.0011178016662597655,4.2477894838981966e-05,0.00038740634918212893,2.0170676787407128e-05,1,1,0.05,poly,"{'C': 1, 'degree': 1, 'gamma': 0.05, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
40,0.0010031938552856445,1.694619486843553e-05,0.0003581523895263672,1.2863030353819644e-05,0.01,0,0.1,linear,"{'C': 0.01, 'degree': 0, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
43,0.0009982585906982422,1.3308370466984515e-05,0.0003615379333496094,1.137843770181701e-05,0.01,0,0.2,linear,"{'C': 0.01, 'degree': 0, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
46,0.0010575532913208007,0.000158732459728237,0.00037872791290283203,7.242450481942149e-05,0.01,1,0.05,linear,"{'C': 0.01, 'degree': 1, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
49,0.001014542579650879,3.2919562749950807e-05,0.0003596067428588867,1.3751627332804096e-05,0.01,1,0.1,linear,"{'C': 0.01, 'degree': 1, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
106,0.0010217905044555664,5.447956351543594e-05,0.0003543853759765625,8.190085957577483e-06,0.1,5,0.2,linear,"{'C': 0.1, 'degree': 5, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
52,0.0010050058364868164,1.9277155778144113e-05,0.0003641605377197266,1.628529793322002e-05,0.01,1,0.2,linear,"{'C': 0.01, 'degree': 1, 'gamma': 0.2, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
103,0.0010389089584350586,6.464197784718908e-05,0.0003571510314941406,1.0703905598231173e-05,0.1,5,0.1,linear,"{'C': 0.1, 'degree': 5, 'gamma': 0.1, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
100,0.0010213136672973632,5.763115618992412e-05,0.0003596305847167969,9.909841782828138e-06,0.1,5,0.05,linear,"{'C': 0.1, 'degree': 5, 'gamma': 0.05, 'kernel': 'linear'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9800000000000001,0.039999999999999994,1
