Column1,listing_id,id,date,reviewer_id,reviewer_name,comments,length,language,compound,neg,neu,pos,English
61913,2036711,587392526,"03,01,20",304825609,Rebecca,Also wo fange ich an1 es ist kein Haus in dem man alleine ist sondern die Besitzerin wohnt mit ihrer Schwester auch da was kein Problem darstellt aber es gibt noch ein Zimmer das auch als AirBnB vermietet wird Was so nicht erkenntlich war in der AnzeigeDas bedeutet auch das man sich mit 5 Leuten die Badezimmerrume teilen muss Ich habe manchmal zwei Stunden warten mssen um berhaupt zum Zhne putzen zu kommenDann kam noch dazu das an dem Tag unserer Anreise abends die anderen Bewohner von uns Geld wollten weil angeblich das Bad abgeschlossen war und wir das gemacht haben sollten 2 Das Haus ist total lieblos eingerichtet und alles wirkt etwas schmuddelig das einzige was sofort auffllt ist das man fr alles eine Regelliste im Haus hat was man wie zu machen hat Das eigentliche Zimmer ist sehr klein und die Matratzen sind so alt das ich jeden Abend eine neue Sprungfeder im Rcken hatte In der Kche ist alles irgendwie in die Schrnke gerumt ohne System und an der Waschmaschine darf man das Program nicht ndern Ach und wenn man abends vor dem Haus sitzt wo ja Tisch und Stuhl zu finden ist tritt man in ausgelegte Stachelmatten fr was auch immer die da sein sollenDer untere Bereich ist auch komplett mit Kameras abgedeckt das man sich auch total unwohlfhlt berhaupt irgendwas in dem Haus zu machen 3 Ich wurde erst gar nicht begrt generell wurde nur mit meiner Freundin gesprochen was das fr einen Grund hatte Keine Ahnung Generell waren die beiden eher verschlossen als Hilfsbereit 4 alles im allen htte ich lieber ein bisschen mehr bezahlt und ein Hotelzimmer gebucht und wre auch nicht so auerhalb gewesen vom Geschehen 30 min mit dem Bus von Bugis,1711,en,-0.9921,0.129,0.871,0,No
62064,33828050,575409005,"10,12,19",8041904,Paul,Originally I never booked this place I booked a different airbnb location for 5 nights When I arrived in Singapore airport I messaged the host that I arrived and wanted the check in instructions   He told me the unit I payed for was not available due to some fire alarm issues or wherever excuse In the end I was had no choice given the fact I landed in a foreign country and I was told my place is no longer available for me The host offered me alternate location and it turned out to be a nightmare No sleep due to noises and fowl smell in the washroomCheck in was easy but the mail box was broken and cannot be lockedThe building is an old heritage building so when you first arrive you can smell the old wood stench or rotten wood as you walk up the stairs   The unit is on the 2nd floor and there are no elevators  This unit was at race course road The unit faces the back alley You may think the back alley is quiet but think again Trucks are parked beside the building in the alley and you can hear the engine of the trucks drive by and you can hear the people in the alley talking This is due to the fact that the building is so old and the walls are paper thin  These are two minor issues The major issue was that there was a Hindi temple next to the airbnb unit What this temple does when it makes its prayers are by using loud speakers that project horns and drums noises so that all the neighbors in the area can hear they loud instruments  It seems like Singapore has no law in terms of disturbance or noise pollution  They played once at 7pm to 9pm The worst part was when they played at 630am to 7am then again at 730am to 8am Total disregard of the people who needed to sleep and who are living in the areaThe washroom had a putrid odor I believe it was coming from the toilet bowl because it was not securely fastened to the ground so it actually tilts when u move around on it which explains the sewage smell I believe The washer under the toilet was probably so worn out and not replaced that sewage odor was creeping up from underneathIn the end I was charged 100 for one night plus 30 for cleaning so total was 130 for something that I didnt want I ended up booking at another bnb that was cheaper and cleaner and was on the 5th floor and quiet,2307,en,-0.9864,0.101,0.869,0.03,
61584,7296138,64374940,"03,03,16",1698702,Valerie,Da Catherine mich gebeten hat meine Bewertung auf Deutsch zu schreiben komme ich dem gerne nachWir hatten eine tolle Zeit in ihrem Apartment Die Kommunikation mit ihr war schon vor unserer Ankunft sehr unkompliziert Uns stand vor Ort genug Platz und ein groer Schrank mit Ablageflche zur Verfgung Das Zimmer ist ansonsten sehr hell und gemtlich und kann mit Vorhngen abgedunkelt werden AC hat problemlos funktioniert genau so wie das InternetDa wir das Zimmer gemietet hatten um selbst ein Apartment in Singapur zu finden haben wir uns riesig ber Tipps von Catherine bezglich Einkaufsmglichkeiten usw gefreutWir haben uns sehr willkommen gefhlt und fanden es toll dass man sich mit Catherine so nett unterhalten konnte Sie hat uns sogar fr die ersten paar Tage Frhstck eingekauft Marmelade Toast Cornflakes uns Milch Wer sich lnger versorgen will findet in Geylang genug Geschfte mit Obst und Gemse oder einen Fairprice gleich um die Ecke Die Location ist ebenfalls klasse mit dem Taxi gehts in unter 10 Minuten in die Innenstadt mit der MRT ebenfalls Wer in einem lebhafteren Viertel inklusive Balkon zum Frhstcken und Pool wohnen mchte ist bei Catherine genau richtig FoodcourtEmpfehlung Old Airport Road Food Center,1275,en,-0.9834,0.13,0.87,0,No
56619,33919675,516890541,"25,08,19",148773229,Dana,The house is in close proximity to the MRT and shopping centre Unfortunately if you want to use the WiFi youll have to stand in the hallway We told the host this but he could not help The shower water is tepid too The worst part of our stay was when the ceiling started leaking and the electricity went out It seemed very unsafe so we contacted the host and he laughed at our complain It was very unprofessional He also turned up to the flat unannounced another day which was also very unprofessional and strange Overall very below average,550,en,-0.9709,0.212,0.746,0.042,
57947,35668639,508500201,"13,08,19",247598314,Cris,Bhel the assistant was really nice and friendly but the bed is very painful we can feel the spring its worse than budget hotel bed The bed sheets is torn and very old doesnt look clean let alone presentable The curtains are dirty and has stains The kitchen is not well equipped again not its not up to Singapore standard for the price we paid per day Theres no sea view as specified in the apartment description Its walking distance to shopping mall and train station and very convenient its a good apartment only its not well organised not very clean and the bed is not comfortable very painful to sleep in,619,en,-0.9706,0.239,0.68,0.081,
61393,9506967,590599333,"09,01,20",253919981,Shalendra,As per reviews left by most other guestsJustins communication and location of property is great but thats where it stops There are a lot of work to be done on this apartment Some details below Window Curtains were broken Dust everywhere especially kitchen and you can see big chunk of dust collected on top of fridge   Kitchen and small bedroom Aircon was leaking leaking Most things in apartment needs replacing There are broken cupboards to television you cannot view  Apartment dirty Needs renovating badly Wall paints are peeling off and if mould few places   Kitchen is Not good for cooking for large number of people Pots and utensils needs upgrading  Bed sheets pillow case towels were dirty and smelly Rally hygiene issues here Everything felt dirty even after shower   No shower curtains in bathroom Water sprayed everywhere in bathroom especially on top of toilet  2nd bathroom unusable for shower as the shower is right above the sink and water goes every where Shouldnt make this place as it has 2 showers  Air con not effective at all In future I will have to reconsider booking through Airbnb again,1166,en,-0.9697,0.144,0.801,0.055,
47560,38937204,593144826,"15,01,20",101466427,Chaminda,Host posted fake photos with large bedrooms  in both bedrooms with computer tables  and large living area But when I checked in it was tiny bed rooms and there was no living area at all Kitchen was very dirty all over I would have have never paid that much money for this tiny apartment It was a scam Very disappointed,325,en,-0.9627,0.255,0.745,0,
59276,8779986,131164494,"10,02,17",106425281,Jan,The bad not necessarily in Soras control One side of the apartment is one layered glass This side is facing a road with 247 traffic and all beds are on this side It is very noisy Aircrafts for the military airport turn exactly over the apartment when they prepare for landing They are 200 meters over your head It is very noisy Would not recommend the apartment for more than 4 people due to its size Would not recommend to sleep on the couch either  it is very bad not even worth sitting inThe good The apartment is very close to the MRT A lot of food options nearbyOverall then value for money is not super Cannot be recommended for families with jetlagged kids due to the noise,725,en,-0.9274,0.152,0.811,0.037,
39488,17657915,336899814,"15,10,18",172265644,Rez,The place is clean enough I think but they were pumping so much chemicals air freshener in the air It was really sickening It made breathing so difficult they probably have major odour problem thats why they trying to mask it,231,en,-0.9263,0.256,0.709,0.035,
35313,10848771,298109061,"29,07,18",139690242,Maik,Yuan hat sich sofort gemeldet und schnell auf alle Fragen geantwortet Die Unterkunft war fr den Preis echt in Ordnung und sehr sauber Sie war sehr lieb und entgegenkommend Immer wieder gerne,195,en,-0.9136,0.287,0.713,0,No
