"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout1_rate","dropout2_rate","dropout3_rate","epochs","fc1_num_neurons","fc2_num_neurons","fc3_num_neurons","hidden_activation","learning_rate","loss_function","metrics","optimizer","output_activation","seed","weight_decay","accuracy","best_epoch","best_val_loss","epoch","loss","val_accuracy","val_loss"
"MNV2 Pretrain","finished","must be best model","burntice","","2020-11-23T03:40:49.000Z","10062","","64","","","","35","512","512","512","relu","0.00001","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9974372386932372","34","0.99715256690979","34","0.7236536145210266","0.9286592602729796","0.99715256690979"
"MNV2 Tuned","finished","no pretraining","burntice","","2020-11-23T03:26:27.000Z","5087","","64","","","","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9887237548828124","14","0.3086259961128235","19","0.06275886297225952","0.9339893460273744","0.5201363563537598"
"d1-0.5, d2-0.5, d3-0.5","finished","-","burntice","","2020-11-22T14:56:10.000Z","3013","001rfn8c","64","0.5","0.5","0.5","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.987186074256897","11","0.4849395751953125","19","0.07909128069877625","0.859559178352356","0.7721371054649353"
"d1-0.5, d2-0.5, d3-0","finished","-","burntice","","2020-11-22T14:07:14.000Z","2934","001rfn8c","64","0.5","0.5","0","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9843670129776","19","0.25579598546028137","19","0.09136707335710526","0.9502819180488586","0.25579598546028137"
"d1-0.5, d2-0, d3-0.5","finished","-","burntice","","2020-11-22T13:19:55.000Z","2836","001rfn8c","64","0.5","0","0.5","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9846232533454896","15","0.8291338682174683","19","0.08014937490224838","0.6119938492774963","2.447204351425171"
"d1-0.5, d2-0, d3-0","finished","-","burntice","","2020-11-22T12:32:54.000Z","2818","001rfn8c","64","0.5","0","0","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9848795533180236","14","0.37214136123657227","19","0.08242815732955933","0.8364940881729126","1.8934475183486936"
"d1-0, d2-0.5, d3-0.5","finished","-","burntice","","2020-11-22T11:45:21.000Z","2852","001rfn8c","64","0","0.5","0.5","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9894925951957704","14","0.3683315813541413","19","0.05545039102435112","0.862634539604187","0.924545168876648"
"d1-0, d2-0.5, d3-0","finished","-","burntice","","2020-11-22T10:56:00.000Z","2959","001rfn8c","64","0","0.5","0","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.988211154937744","14","0.3878525495529175","19","0.06834997981786728","0.9323424100875854","0.46239733695983887"
"d1-0, d2-0, d3-0.5","finished","-","burntice","","2020-11-22T10:07:47.000Z","2889","001rfn8c","64","0","0","0.5","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9878267645835876","17","0.3456839621067047","19","0.061587054282426834","0.8882624506950378","0.5334652066230774"
"d1-0, d2-0, d3-0","finished","-","burntice","","2020-11-22T08:47:15.000Z","4828","001rfn8c","64","0","0","0","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.001","0.9828293323516846","18","0.35525766015052795","19","0.07184290885925293","0.9195284247398376","0.4968547821044922"
"L2-1e-9","finished","-","burntice","","2020-11-22T07:54:12.000Z","4666","","64","0","0","0","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","1e-9","0.9946181178092957","16","0.24010121822357175","19","0.017376838251948357","0.8928754329681396","0.6203635334968567"
"L2-0.01","finished","-","burntice","","2020-11-22T07:39:28.000Z","2770","rko63m53","64","0","0","0","20","512","512","512","relu","0.0005","binary_crossentropy","[""accuracy""]","adam","sigmoid","7","0.01","0.981291651725769","19","0.4399837553501129","19","0.08743976056575775","0.9087647199630736","0.4399837553501129"
