,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Chance of Admit
0,337,118,4,4.5,4.5,9.65,0.92
1,324,107,4,4.0,4.5,8.87,0.76
2,316,104,3,3.0,3.5,8.0,0.72
3,322,110,3,3.5,2.5,8.67,0.8
4,314,103,2,2.0,3.0,8.21,0.65
5,330,115,5,4.5,3.0,9.34,0.9
6,321,109,3,3.0,4.0,8.2,0.75
7,308,101,2,3.0,4.0,7.9,0.68
8,302,102,1,2.0,1.5,8.0,0.5
9,323,108,3,3.5,3.0,8.6,0.45
10,325,106,3,3.5,4.0,8.4,0.52
11,327,111,4,4.0,4.5,9.0,0.84
12,328,112,4,4.0,4.5,9.1,0.78
13,307,109,3,4.0,3.0,8.0,0.62
14,311,104,3,3.5,2.0,8.2,0.61
15,314,105,3,3.5,2.5,8.3,0.54
16,317,107,3,4.0,3.0,8.7,0.66
17,319,106,3,4.0,3.0,8.0,0.65
18,318,110,3,4.0,3.0,8.8,0.63
19,303,102,3,3.5,3.0,8.5,0.62
20,312,107,3,3.0,2.0,7.9,0.64
21,325,114,4,3.0,2.0,8.4,0.7
22,328,116,5,5.0,5.0,9.5,0.94
23,334,119,5,5.0,4.5,9.7,0.95
24,336,119,5,4.0,3.5,9.8,0.97
25,340,120,5,4.5,4.5,9.6,0.94
26,322,109,5,4.5,3.5,8.8,0.76
27,298,98,2,1.5,2.5,7.5,0.44
28,295,93,1,2.0,2.0,7.2,0.46
29,310,99,2,1.5,2.0,7.3,0.54
30,300,97,2,3.0,3.0,8.1,0.65
31,327,103,3,4.0,4.0,8.3,0.74
32,338,118,4,3.0,4.5,9.4,0.91
33,340,114,5,4.0,4.0,9.6,0.9
34,331,112,5,4.0,5.0,9.8,0.94
35,320,110,5,5.0,5.0,9.2,0.88
36,299,106,2,4.0,4.0,8.4,0.64
37,300,105,1,1.0,2.0,7.8,0.58
38,304,105,1,3.0,1.5,7.5,0.52
39,307,108,2,4.0,3.5,7.7,0.48
40,308,110,3,3.5,3.0,8.0,0.46
41,316,105,2,2.5,2.5,8.2,0.49
42,313,107,2,2.5,2.0,8.5,0.53
43,332,117,4,4.5,4.0,9.1,0.87
44,326,113,5,4.5,4.0,9.4,0.91
45,322,110,5,5.0,4.0,9.1,0.88
46,329,114,5,4.0,5.0,9.3,0.86
47,339,119,5,4.5,4.0,9.7,0.89
48,321,110,3,3.5,5.0,8.85,0.82
49,327,111,4,3.0,4.0,8.4,0.78
50,313,98,3,2.5,4.5,8.3,0.76
51,312,100,2,1.5,3.5,7.9,0.56
52,334,116,4,4.0,3.0,8.0,0.78
53,324,112,4,4.0,2.5,8.1,0.72
54,322,110,3,3.0,3.5,8.0,0.7
55,320,103,3,3.0,3.0,7.7,0.64
56,316,102,3,2.0,3.0,7.4,0.64
57,298,99,2,4.0,2.0,7.6,0.46
58,300,99,1,3.0,2.0,6.8,0.36
59,311,104,2,2.0,2.0,8.3,0.42
60,309,100,2,3.0,3.0,8.1,0.48
61,307,101,3,4.0,3.0,8.2,0.47
62,304,105,2,3.0,3.0,8.2,0.54
63,315,107,2,4.0,3.0,8.5,0.56
64,325,111,3,3.0,3.5,8.7,0.52
65,325,112,4,3.5,3.5,8.92,0.55
66,327,114,3,3.0,3.0,9.02,0.61
67,316,107,2,3.5,3.5,8.64,0.57
68,318,109,3,3.5,4.0,9.22,0.68
69,328,115,4,4.5,4.0,9.16,0.78
70,332,118,5,5.0,5.0,9.64,0.94
71,336,112,5,5.0,5.0,9.76,0.96
72,321,111,5,5.0,5.0,9.45,0.93
73,314,108,4,4.5,4.0,9.04,0.84
74,314,106,3,3.0,5.0,8.9,0.74
75,329,114,2,2.0,4.0,8.56,0.72
76,327,112,3,3.0,3.0,8.72,0.74
77,301,99,2,3.0,2.0,8.22,0.64
78,296,95,2,3.0,2.0,7.54,0.44
79,294,93,1,1.5,2.0,7.36,0.46
80,312,105,3,2.0,3.0,8.02,0.5
81,340,120,4,5.0,5.0,9.5,0.96
82,320,110,5,5.0,4.5,9.22,0.92
83,322,115,5,4.0,4.5,9.36,0.92
84,340,115,5,4.5,4.5,9.45,0.94
85,319,103,4,4.5,3.5,8.66,0.76
86,315,106,3,4.5,3.5,8.42,0.72
