"Name","Runtime","Notes","Tags","num_ch_c1","num_ch_c2","accuracy","best_epoch","best_val_loss","loss","val_accuracy","val_loss"
"Conv (90, 40)","645","-","","90","40","0.742900013923645","716","1.3838623762130735","0.7772862911224365","0.5040000081062317","1.5055023431777954"
"Conv (70, 40)","583","-","","70","40","0.734000027179718","705","1.3790572881698608","0.8020336031913757","0.4970000088214874","1.5051751136779783"
"Conv (30, 60)","432","-","","30","60","0.7254999876022339","732","1.4048597812652588","0.8073601722717285","0.4900000095367432","1.5831694602966309"
"Conv (90, 20)","609","-","","90","20","0.6963000297546387","753","1.398619532585144","0.8975950479507446","0.4880000054836273","1.5330016613006592"
"Conv (50, 60)","527","-","","50","60","0.756600022315979","724","1.4040757417678833","0.7499588131904602","0.4839999973773956","1.625527262687683"
"Conv (10, 40)","425","-","","10","40","0.6319000124931335","753","1.4308706521987915","1.061877965927124","0.4830000102519989","1.514731526374817"
"Conv (50, 20)","477","-","","50","20","0.632099986076355","833","1.4355127811431885","1.066106915473938","0.48249998688697815","1.499144196510315"
"Conv (50, 80)","561","-","","50","80","0.7718999981880188","717","1.3811869621276855","0.711195170879364","0.4819999933242798","1.6652250289916992"
"Conv (30, 20)","445","-","","30","20","0.6276000142097473","825","1.4106882810592651","1.0568839311599731","0.4805000126361847","1.525659203529358"
"Conv (30, 100)","485","-","","30","100","0.7573999762535095","732","1.4096604585647583","0.7397887110710144","0.47600001096725464","1.6627116203308103"
"Conv (10, 80)","445","-","","10","80","0.6983000040054321","647","1.451147437095642","0.8869946002960205","0.4749999940395355","1.5914238691329956"
"Conv (50, 40)","502","-","","50","40","0.718500018119812","717","1.406517505645752","0.8330530524253845","0.47099998593330383","1.6083790063858032"
"Conv (90, 60)","665","-","","90","60","0.7949000000953674","596","1.401966571807861","0.6608251929283142","0.4675000011920929","1.7264121770858765"
"Conv (70, 80)","640","-","","70","80","0.7807000279426575","717","1.391128659248352","0.6922628283500671","0.4629999995231629","1.7138910293579102"
"Conv (90, 100)","718","-","","90","100","0.82669997215271","717","1.3781301975250244","0.5837499499320984","0.4629999995231629","1.7523757219314575"
"Conv (10, 20)","417","-","","10","20","0.5898000001907349","716","1.4777822494506836","1.1736198663711548","0.4589999914169311","1.5805909633636477"
"Conv (10, 60)","429","-","","10","60","0.692799985408783","747","1.434195041656494","0.9009292721748352","0.45750001072883606","1.6820284128189087"
"Conv (70, 60)","607","-","","70","60","0.7700999975204468","649","1.3983420133590698","0.7197288870811462","0.45500001311302185","1.7476714849472046"
"Conv (50, 100)","580","-","","50","100","0.7770000100135803","717","1.3908237218856812","0.6941320896148682","0.4544999897480011","1.7095528841018677"
"Conv (70, 20)","556","-","","70","20","0.6545000076293945","916","1.4082133769989014","1.010429620742798","0.4490000009536743","1.6331011056900024"
"Conv (90, 80)","692","-","","90","80","0.8080999851226807","747","1.3800593614578247","0.6256371736526489","0.4480000138282776","1.8475106954574585"
"Conv (70, 100)","661","-","","70","100","0.8130999803543091","649","1.3862894773483276","0.6176832914352417","0.44600000977516174","1.8347846269607544"
"Conv (30, 80)","457","-","","30","80","0.7583000063896179","649","1.3916494846343994","0.7488122582435608","0.4399999976158142","1.827093243598938"
"Conv (30, 40)","464","-","","30","40","0.6873999834060669","724","1.429230570793152","0.918970823287964","0.43650001287460327","1.7579138278961182"
"Conv (10, 100)","440","-","","10","100","0.738099992275238","717","1.424830436706543","0.8024780750274658","0.4359999895095825","1.7766244411468506"
