"Name","accuracy","loss","val_loss","val_accuracy","Runtime","Tags","Sweep","batch_size","dropout_layer_1","dropout_layer_2","epochs","learning_rate","num_ch_c1","num_ch_c2","optimizer","best_epoch","best_val_loss","epoch"
"SGD Full Data","0.6939600110054016","0.8637040853500366","1.0405431985855105","0.6359999775886536","3233","additional","","128","0.5","0.5","1000","0.001","90","40","SGD","952","1.0294768810272217","999"
"First Model SC","0.7581999897956848","0.7492851614952087","1.6294087171554563","0.48249998688697815","755","","","128","No","No","1000","0.001","50","60","SGD","724","1.403377890586853","999"
"MM Full Data","0.8256199955940247","0.4929661452770233","1.3528333902359009","0.6129000186920166","1353","additional","","128","0.5","0.5","500","0.001","90","40","SGD","148","1.044954538345337","499"
"Dropout X1","0.6769999861717224","0.9268634915351868","1.4325556755065918","0.5105000138282776","703","","","128","0.5","0.5","1000","0.001","90","40","SGD","948","1.3127188682556152","999"
"MM + Dropout X2","0.9670000076293944","0.09936852008104324","2.34970760345459","0.5419999957084656","810","additional","","128","0.5","0.5","1000","0.001","90","40","SGD","190","1.265593647956848","999"
"Dropout X2","0.5562999844551086","1.248489260673523","1.3754968643188477","0.5205000042915344","706","Q4, additional","","128","0.5","0.5","1000","0.001","90","40","SGD","996","1.3222817182540894","999"
"Adam","0.8075000047683716","0.552974283695221","6.728347301483154","0.31700000166893005","724","","","128","No","No","1000","0.001","90","40","Adam","14","1.4770182371139526","999"
"RMSProp","0.9961000084877014","0.02005661092698574","25.349855422973633","0.4560000002384186","758","","","128","No","No","1000","0.001","90","40","RMSProp","16","1.6814727783203125","999"
"Momentum","1","0.0009605224477127194","3.970290184020996","0.5099999904632568","860","Q4, additional","","128","No","No","1000","0.001","90","40","SGD","83","1.3753224611282349","999"
"Conv (90, 100)","0.82669997215271","0.5837499499320984","1.7523757219314575","0.4629999995231629","718","","ccro3cg5","128","No","No","1000","0.001","90","100","SGD","717","1.3781301975250244","999"
"Conv (90, 80)","0.8080999851226807","0.6256371736526489","1.8475106954574585","0.4480000138282776","692","","ccro3cg5","128","No","No","1000","0.001","90","80","SGD","747","1.3800593614578247","999"
"Conv (90, 60)","0.7949000000953674","0.6608251929283142","1.7264121770858765","0.4675000011920929","665","","ccro3cg5","128","No","No","1000","0.001","90","60","SGD","596","1.401966571807861","999"
"Conv (90, 40)","0.742900013923645","0.7772862911224365","1.5055023431777954","0.5040000081062317","645","","ccro3cg5","128","No","No","1000","0.001","90","40","SGD","716","1.3838623762130735","999"
"Conv (90, 20)","0.6963000297546387","0.8975950479507446","1.5330016613006592","0.4880000054836273","609","","ccro3cg5","128","No","No","1000","0.001","90","20","SGD","753","1.398619532585144","999"
"Conv (70, 100)","0.8130999803543091","0.6176832914352417","1.8347846269607544","0.44600000977516174","661","","ccro3cg5","128","No","No","1000","0.001","70","100","SGD","649","1.3862894773483276","999"
"Conv (70, 80)","0.7807000279426575","0.6922628283500671","1.7138910293579102","0.4629999995231629","640","","ccro3cg5","128","No","No","1000","0.001","70","80","SGD","717","1.391128659248352","999"
"Conv (70, 60)","0.7700999975204468","0.7197288870811462","1.7476714849472046","0.45500001311302185","607","","ccro3cg5","128","No","No","1000","0.001","70","60","SGD","649","1.3983420133590698","999"
"Conv (70, 40)","0.734000027179718","0.8020336031913757","1.5051751136779783","0.4970000088214874","583","","ccro3cg5","128","No","No","1000","0.001","70","40","SGD","705","1.3790572881698608","999"
"Conv (70, 20)","0.6545000076293945","1.010429620742798","1.6331011056900024","0.4490000009536743","556","","ccro3cg5","128","No","No","1000","0.001","70","20","SGD","916","1.4082133769989014","999"
"Conv (50, 100)","0.7770000100135803","0.6941320896148682","1.7095528841018677","0.4544999897480011","580","","ccro3cg5","128","No","No","1000","0.001","50","100","SGD","717","1.3908237218856812","999"
"Conv (50, 80)","0.7718999981880188","0.711195170879364","1.6652250289916992","0.4819999933242798","561","","ccro3cg5","128","No","No","1000","0.001","50","80","SGD","717","1.3811869621276855","999"
"Conv (50, 60)","0.756600022315979","0.7499588131904602","1.625527262687683","0.4839999973773956","527","","ccro3cg5","128","No","No","1000","0.001","50","60","SGD","724","1.4040757417678833","999"
"Conv (50, 40)","0.718500018119812","0.8330530524253845","1.6083790063858032","0.47099998593330383","502","","ccro3cg5","128","No","No","1000","0.001","50","40","SGD","717","1.406517505645752","999"
"Conv (50, 20)","0.632099986076355","1.066106915473938","1.499144196510315","0.48249998688697815","477","","ccro3cg5","128","No","No","1000","0.001","50","20","SGD","833","1.4355127811431885","999"
"Conv (30, 100)","0.7573999762535095","0.7397887110710144","1.6627116203308103","0.47600001096725464","485","","ccro3cg5","128","No","No","1000","0.001","30","100","SGD","732","1.4096604585647583","999"
"Conv (30, 80)","0.7583000063896179","0.7488122582435608","1.827093243598938","0.4399999976158142","457","","ccro3cg5","128","No","No","1000","0.001","30","80","SGD","649","1.3916494846343994","999"
"Conv (30, 60)","0.7254999876022339","0.8073601722717285","1.5831694602966309","0.4900000095367432","432","","ccro3cg5","128","No","No","1000","0.001","30","60","SGD","732","1.4048597812652588","999"
"Conv (30, 40)","0.6873999834060669","0.918970823287964","1.7579138278961182","0.43650001287460327","464","","ccro3cg5","128","No","No","1000","0.001","30","40","SGD","724","1.429230570793152","999"
"Conv (30, 20)","0.6276000142097473","1.0568839311599731","1.525659203529358","0.4805000126361847","445","","ccro3cg5","128","No","No","1000","0.001","30","20","SGD","825","1.4106882810592651","999"
"Conv (10, 100)","0.738099992275238","0.8024780750274658","1.7766244411468506","0.4359999895095825","440","","ccro3cg5","128","No","No","1000","0.001","10","100","SGD","717","1.424830436706543","999"
"Conv (10, 80)","0.6983000040054321","0.8869946002960205","1.5914238691329956","0.4749999940395355","445","","ccro3cg5","128","No","No","1000","0.001","10","80","SGD","647","1.451147437095642","999"
"Conv (10, 60)","0.692799985408783","0.9009292721748352","1.6820284128189087","0.45750001072883606","429","","ccro3cg5","128","No","No","1000","0.001","10","60","SGD","747","1.434195041656494","999"
"Conv (10, 40)","0.6319000124931335","1.061877965927124","1.514731526374817","0.4830000102519989","425","","ccro3cg5","128","No","No","1000","0.001","10","40","SGD","753","1.4308706521987915","999"
"Conv (10, 20)","0.5898000001907349","1.1736198663711548","1.5805909633636477","0.4589999914169311","417","","ccro3cg5","128","No","No","1000","0.001","10","20","SGD","716","1.4777822494506836","999"
"Test Model (LR)","0.511900007724762","1.4106388092041016","1.5465608835220337","0.46950000524520874","837","","","128","No","No","1000","0.0003","50","60","SGD","996","1.507857084274292","999"
"Test Model (Shuffle)","0.7547000050544739","0.7509562373161316","1.6268759965896606","0.48750001192092896","2455","","","128","No","No","1000","0.001","50","60","SGD","724","1.40277898311615","999"
"First Model","0.7548999786376953","0.7506793737411499","1.619316816329956","0.48649999499320984","2989","","","128","No","No","1000","0.001","50","60","SGD","724","1.4030016660690308","999"
